"Word","Count"
"Ascending","4"
"Ascii","325"
"Asian","4"
"Asin","15"
"Asinh","7"
"Asm","8"
"Asn","145"
"Asp","26"
"Aspect","6"
"Assem","48"
"Assemble","1"
"Assemblies","40"
"Assembly","1414"
"Assemblyname","4"
"Assert","89"
"Assertion","11"
"Assessed","2"
"Asset","43"
"Assets","8"
"Assg","12"
"Assign","123"
"Assignable","37"
"Assigned","30"
"Assigner","2"
"Assignment","56"
"Assignments","2"
"Assist","1"
"Assm","1"
"Associate","21"
"Associated","96"
"Associates","3"
"Association","16"
"Associations","1"
"Associative","4"
"Assume","9"
"Assumption","4"
"Ast","9"
"Asterisk","13"
"Astfield","1"
"Astral","1"
"Asttree","1"
"Asymmetric","28"
"Async","5629"
"Asynchronous","17"
"Asynchronously","30"
"Asyncoperations","2"
"At","373"
"Atan","25"
"Atanh","7"
"Atext","1"
"Atime","1"
"Atm","4"
"Ato","1"
"Atom","29"
"Atomic","129"
"Atomically","1"
"Atomize","8"
"Atomized","7"
"Atoms","14"
"Ats","36"
"Att","71"
"Attach","39"
"Attached","27"
"Attachment","13"
"Attachments","3"
"Attdef","14"
"Attdefs","2"
"Attempt","27"
"Attempted","42"
"Attempting","45"
"Attempts","13"
"Attention","1"
"Attlist","28"
"Attn","1"
"Attr","672"
"Attrib","16"
"Attribs","4"
"Attribute","4381"
"Attributes","1835"
"Attribution","2"
"Attrs","49"
"Attrubute","1"
"Audio","1"
"Audit","118"
"Augmentation","3"
"Aut","10"
"Auth","243"
"Authconnectionfailure","2"
"Authdata","17"
"Authenticate","190"
"Authenticated","172"
"Authenticating","2"
"Authentication","603"
"Authenticator","23"
"Authenticode","3"
"Authored","2"
"Authoritative","3"
"Authorities","5"
"Authority","130"
"Authorization","218"
"Authorize","53"
"Authorized","20"
"Authorizing","9"
"Authvalidationfailure","2"
"Authz","3"
"Auto","261"
"Autocap","1"
"Autoconfig","2"
"Autogenerated","1"
"Automatic","53"
"Automation","4"
"Aux","8"
"Avail","28"
"Availability","16"
"Available","268"
"Average","116"
"Avg","5"
"Avif","1"
"Avoid","3"
"Avt","61"
"Avx","20"
"Await","46"
"Awaitable","99"
"Awaited","42"
"Awaiter","173"
"Awaiting","4"
"Aware","25"
"Away","48"
"Axe","1"
"Axes","2"
"Axis","83"
"Azure","8"
"Ba","3"
"Back","214"
"Backchannel","14"
"Backed","9"
"Backend","2"
"Background","58"
"Backing","14"
"Backjump","1"
"Backlog","14"
"Backout","2"
"Backpressure","1"
"Backreference","12"
"Backreferences","1"
"Backs","1"
"Backslash","8"
"Backslashes","4"
"Backspace","1"
"Backtrack","4"
"Backtracking","13"
"Backtracks","1"
"Backup","16"
"Backward","9"
"Backwardnext","1"
"Backwards","16"
"Bad","582"
"Baddate","2"
"Badmethod","2"
"Bag","80"
"Baggage","28"
"Bags","3"
"Bake","3"
"Baked","9"
"Balance","17"
"Balanced","5"
"Balancing","4"
"Balinese","2"
"Ballot","13"
"Bamum","2"
"Ban","1"
"Band","11"
"Bandwidth","2"
"Bang","4"
"Banner","11"
"Banyan","2"
"Bar","8"
"Bare","4"
"Barrier","56"
"Barriers","2"
"Base","1941"
"Baseaddress","6"
"Based","43"
"Bases","2"
"Basic","84"
"Basis","4"
"Batak","2"
"Batch","185"
"Batched","12"
"Batches","20"
"Batching","2"
"Bc","1"
"Bcc","7"
"Bcl","5"
"Bcp","1"
"Bcrypt","2"
"Bdd","8"
"Be","928"
"Bearer","24"
"Beat","8"
"Because","10"
"Been","19"
"Beep","9"
"Before","272"
"Beg","1"
"Begin","829"
"Beginning","29"
"Begins","8"
"Begun","4"
"Behavior","117"
"Behaviour","7"
"Behind","1"
"Beige","3"
"Being","39"
"Belong","3"
"Belongs","5"
"Below","6"
"Bengali","2"
"Beq","9"
"Ber","8"
"Best","74"
"Better","14"
"Between","11"
"Beyond","21"
"Bfinal","1"
"Bge","16"
"Bgt","13"
"Bi","4"
"Bias","12"
"Biased","12"
"Bidi","11"
"Bidirectional","13"
"Big","230"
"Bigendian","2"
"Bigger","6"
"Biggest","1"
"Bigint","1"
"Bilisecond","1"
"Billboard","4"
"Bin","118"
"Binary","692"
"Bind","579"
"Bindable","29"
"Binder","979"
"Binders","17"
"Binding","1036"
"Bindings","31"
"Binop","25"
"Bios","6"
"Birth","1"
"Bisque","3"
"Bistate","2"
"Bit","369"
"Bitfield","7"
"Bitmap","36"
"Bitmaps","3"
"Bitmask","10"
"Bits","334"
"Bitshifter","1"
"Bitwise","113"
"Black","11"
"Blanched","3"
"Blank","1"
"Blanks","1"
"Blazor","16"
"Bldr","8"
"Ble","15"
"Blend","44"
"Blittable","2"
"Blk","1"
"Blob","390"
"Bloblen","1"
"Blobs","8"
"Block","1076"
"Blocked","17"
"Blocking","118"
"Blocklist","4"
"Blocks","81"
"Blockwise","1"
"Blt","16"
"Blue","67"
"Blush","3"
"Bmi","4"
"Bmp","14"
"Bn","5"
"Bnd","2"
"Bne","9"
"Bnf","1"
"Bobl","1"
"Bodies","6"
"Body","975"
"Bofs","5"
"Bogus","21"
"Bol","5"
"Bom","8"
"Book","1"
"Bookmark","39"
"Bool","95"
"Boolean","283"
"Booleans","2"
"Boost","19"
"Boot","2"
"Bootstrap","7"
"Bopomofo","4"
"Border","6"
"Bos","1"
"Both","30"
"Bottom","19"
"Bound","291"
"Boundaries","7"
"Boundary","120"
"Bounded","34"
"Bounding","11"
"Bounds","80"
"Bowm","1"
"Bowmt","1"
"Box","141"
"Boxable","2"
"Boxed","80"
"Boxes","5"
"Boxing","5"
"Br","18"
"Brace","36"
"Braces","2"
"Brack","1"
"Bracket","18"
"Bracketing","3"
"Brackets","6"
"Braille","2"
"Brainpool","28"
"Branch","105"
"Branchcount","1"
"Branched","3"
"Branches","20"
"Branching","6"
"Branchmark","1"
"Brctxt","6"
"Breadth","2"
"Break","63"
"Breaker","1"
"Breaks","8"
"Brfalse","9"
"Bright","1"
"Brightness","1"
"Bring","2"
"Broadcast","102"
"Broadcasting","1"
"Broadcasts","1"
"Broken","11"
"Brotli","57"
"Brown","12"
"Browsable","32"
"Browser","47"
"Browsing","4"
"Brtrue","9"
"Bruijn","4"
"Brush","6"
"Brushes","2"
"Bsd","2"
"Bstr","45"
"Bucket","69"
"Buckets","53"
"Buddhist","6"
"Budget","8"
"Buf","78"
"Buff","9"
"Buffer","4697"
"Buffercounttoosmall","2"
"Buffered","86"
"Buffering","67"
"Bufferoffset","2"
"Buffers","162"
"Buffersize","6"
"Bug","6"
"Buginese","2"
"Buhid","2"
"Build","467"
"Builder","2416"
"Builders","13"
"Buildin","1"
"Building","7"
"Built","100"
"Builtin","28"
"Bulb","2"
"Bulk","17"
"Bump","1"
"Bumpalong","2"
"Burly","3"
"Burning","1"
"Burst","1"
"Bus","1"
"Busy","11"
"But","11"
"Butnot","3"
"Button","40"
"Buttons","5"
"Bw","5"
"By","1295"
"Bypass","42"
"Bypassed","7"
"Byref","36"
"Byrefs","1"
"Byt","1"
"Byte","1657"
"Bytecount","2"
"Bytes","3202"
"Ca","43"
"Cachable","1"
"Cache","1243"
"Cacheable","44"
"Cached","362"
"Caches","18"
"Caching","70"
"Cades","1"
"Cadet","3"
"Cal","35"
"Calc","9"
"Calcualte","1"
"Calculate","63"
"Calculated","5"
"Calculations","1"
"Calculator","2"
"Calendar","271"
"Calendars","22"
"Calendrical","1"
"Calg","8"
"Calibrate","2"
"Call","959"
"Callable","27"
"Callables","3"
"Callback","2374"
"Callbacks","89"
"Callconv","1"
"Called","104"
"Callee","10"
"Caller","91"
"Callers","13"
"Calli","9"
"Calling","190"
"Callinprogress","2"
"Calloc","1"
"Calls","19"
"Callstack","3"
"Callvirt","3"
"Calm","10"
"Calms","3"
"Camel","9"
"Camera","28"
"Can","1508"
"Canadian","4"
"Canb","6"
"Cancel","256"
"Cancelable","15"
"Canceled","152"
"Canceler","2"
"Cancellable","1"
"Cancellation","3262"
"Cancelled","45"
"Cand","2"
"Candidate","114"
"Candidates","70"
"Cannot","692"
"Canon","1"
"Canonical","81"
"Canonicalizable","1"
"Canonicalization","39"
"Canonicalize","20"
"Canonicalized","5"
"Canonize","1"
"Canonname","2"
"Cant","113"
"Cap","16"
"Capabilities","13"
"Capability","10"
"Capable","4"
"Capacity","643"
"Capcity","1"
"Capcoll","1"
"Capcount","6"
"Capi","7"
"Capname","2"
"Capnamelist","1"
"Capnames","5"
"Capnum","3"
"Capnumlist","1"
"Caps","21"
"Capsize","8"
"Capslist","2"
"Caption","22"
"Captop","1"
"Capture","194"
"Captured","44"
"Capturemark","1"
"Capturepos","1"
"Captures","17"
"Capturing","6"
"Card","16"
"Cardin","2"
"Cardinality","11"
"Carg","2"
"Carriage","3"
"Carried","4"
"Carrier","20"
"Carry","2"
"Carryless","2"
"Cascade","15"
"Cascaded","12"
"Cascading","55"
"Case","503"
"Cased","3"
"Caseless","1"
"Cases","19"
"Casing","84"
"Cast","175"
"Castable","17"
"Castclass","4"
"Casting","6"
"Cat","10"
"Catalog","22"
"Catalyst","2"
"Catch","142"
"Catchable","4"
"Catches","1"
"Catchorfilter","1"
"Categories","15"
"Category","307"
"Caught","3"
"Causality","6"
"Cause","1"
"Cb","509"
"Cbc","53"
"Cbit","3"
"Cbos","2"
"Cbrt","7"
"Cbt","16"
"Cc","9"
"Ccbf","1"
"Ccbt","1"
"Ccevent","9"
"Cch","64"
"Cci","4"
"Ccitt","2"
"Ccm","6"
"Cd","2"
"Cdata","4"
"Cdecl","7"
"Cds","1"
"Ceiling","45"
"Cek","7"
"Celestial","1"
"Cells","2"
"Celt","16"
"Center","38"
"Centers","2"
"Central","25"
"Centuries","7"
"Century","1"
"Ceq","5"
"Cer","20"
"Ceritifcate","2"
"Cert","654"
"Certifcate","1"
"Certificate","1066"
"Certificates","132"
"Certification","4"
"Certs","50"
"Cessation","1"
"Cf","1"
"Cfb","28"
"Cfws","2"
"Cgt","7"
"Ch","189"
"Cha","14"
"Chain","259"
"Chained","10"
"Chaining","10"
"Challenge","82"
"Challenged","8"
"Challenges","8"
"Cham","2"
"Chameleon","11"
"Chance","10"
"Change","682"
"Changed","606"
"Changes","71"
"Changing","152"
"Channel","265"
"Channels","12"
"Chaos","4"
"Chapter","22"
"Chapters","2"
"Char","1961"
"Character","187"
"Characteristic","5"
"Characteristics","26"
"Characters","151"
"Charged","1"
"Charindex","1"
"Chars","1269"
"Charset","47"
"Chartreuse","3"
"Chcategory","1"
"Cheap","39"
"Check","1427"
"Checkbox","5"
"Checked","224"
"Checker","94"
"Checking","22"
"Checkout","3"
"Checkpoint","1"
"Checks","40"
"Checksum","48"
"Chekfor","1"
"Cherokee","4"
"Chiffon","3"
"Chiki","2"
"Child","676"
"Children","128"
"Chinese","9"
"Chk","15"
"Chn","1"
"Chocolate","3"
"Choice","190"
"Choices","13"
"Choose","27"
"Chosung","1"
"Chr","3"
"Chunk","334"
"Chunked","58"
"Chunking","10"
"Chunks","86"
"Ci","6"
"Cid","3"
"Cinfo","1"
"Cipher","193"
"Ciphers","2"
"Ciphersuites","2"
"Ciphertext","72"
"Circuit","279"
"Circuited","12"
"Circuits","4"
"Circular","59"
"Cis","1"
"Ciul","12"
"Cjk","18"
"Ckfinite","3"
"Claim","204"
"Claims","115"
"Clamp","41"
"Clash","2"
"Class","535"
"Classes","30"
"Classic","7"
"Classification","3"
"Classifier","7"
"Classify","8"
"Clause","27"
"Clauses","6"
"Clean","26"
"Cleaned","2"
"Cleaning","2"
"Cleanup","109"
"Clear","533"
"Cleared","19"
"Clearing","6"
"Cli","7"
"Click","1"
"Client","885"
"Clients","105"
"Climber","1"
"Climbing","3"
"Clint","1"
"Clipboard","3"
"Clock","34"
"Clonable","1"
"Clone","416"
"Cloneable","7"
"Cloned","4"
"Cloner","1"
"Clones","2"
"Cloning","9"
"Closable","4"
"Close","580"
"Closed","304"
"Closesocket","3"
"Closest","6"
"Closing","44"
"Closure","64"
"Clr","209"
"Cls","27"
"Clsid","13"
"Clt","8"
"Cluster","7"
"Cmd","11"
"Cmp","50"
"Cmplx","1"
"Cms","105"
"Cmsg","7"
"Cnd","12"
"Cne","1"
"Cng","121"
"Cnt","26"
"Co","29"
"Coalesce","15"
"Coalescing","2"
"Cobol","1"
"Code","2899"
"Codebase","1"
"Codec","2"
"Coded","22"
"Codepage","22"
"Codepoint","4"
"Codepos","1"
"Codes","86"
"Coding","17"
"Coefficient","1"
"Coefficients","21"
"Coerce","7"
"Coerced","9"
"Coercer","21"
"Coercion","17"
"Cofactor","4"
"Coff","11"
"Coherent","4"
"Col","43"
"Coll","24"
"Collaboration","2"
"Collapse","6"
"Collapsed","9"
"Collation","46"
"Collations","7"
"Collect","47"
"Collected","1"
"Collectible","41"
"Collection","1700"
"Collections","47"
"Collector","19"
"Collelem","2"
"Collision","15"
"Collisions","2"
"Colno","4"
"Colon","27"
"Color","141"
"Colored","1"
"Colors","20"
"Cols","1"
"Column","813"
"Columns","192"
"Com","272"
"Combination","6"
"Combinations","1"
"Combine","81"
"Combined","18"
"Combining","14"
"Combo","4"
"Comdat","1"
"Comdlg","3"
"Comformance","2"
"Comma","32"
"Command","431"
"Commands","22"
"Commas","14"
"Comment","240"
"Comments","57"
"Commit","153"
"Committable","12"
"Committed","78"
"Committing","21"
"Common","182"
"Communication","6"
"Commutative","2"
"Commute","2"
"Comp","46"
"Compact","11"
"Compacted","3"
"Compacting","3"
"Compaction","15"
"Company","9"
"Comparable","39"
"Comparand","27"
"Compare","1194"
"Comparer","1264"
"Comparers","27"
"Comparison","178"
"Comparisons","2"
"Compartment","1"
"Compartments","1"
"Compat","48"
"Compatibility","79"
"Compatible","85"
"Compex","1"
"Compilation","55"
"Compile","364"
"Compiled","132"
"Compiler","191"
"Compiling","2"
"Complement","29"
"Complete","412"
"Completed","943"
"Completely","4"
"Completing","32"
"Completion","528"
"Completions","2"
"Complex","257"
"Complexity","3"
"Compliance","1"
"Compliant","9"
"Component","1290"
"Components","113"
"Compops","1"
"Compose","2"
"Composed","5"
"Composite","38"
"Compositing","2"
"Compositor","7"
"Compound","17"
"Comprehend","1"
"Compress","25"
"Compressed","70"
"Compressing","2"
"Compression","138"
"Compressor","1"
"Compromise","3"
"Computable","4"
"Computation","4"
"Compute","139"
"Computed","34"
"Computer","15"
"Computers","1"
"Con","59"
"Concat","84"
"Concatenate","7"
"Concatenated","2"
"Concatenation","6"
"Concatenator","1"
"Concrete","6"
"Concurrency","60"
"Concurrent","121"
"Concurrently","6"
"Cond","21"
"Condemn","4"
"Condemned","2"
"Condition","243"
"Conditional","68"
"Conditions","27"
"Conection","1"
"Conext","1"
"Confidence","2"
"Confidentiality","5"
"Config","269"
"Configs","3"
"Configurable","7"
"Configuration","564"
"Configurations","7"
"Configure","745"
"Configured","88"
"Configures","3"
"Configuring","2"
"Confirm","7"
"Confirmation","26"
"Confirmed","42"
"Conflict","53"
"Conflicting","21"
"Conflicts","15"
"Conformance","30"
"Congestion","1"
"Conjugate","2"
"Conjunctive","3"
"Conn","33"
"Connarg","2"
"Connect","258"
"Connected","67"
"Connecting","9"
"Connection","2054"
"Connectionaborted","5"
"Connectionclosed","4"
"Connections","158"
"Connector","6"
"Cononical","1"
"Cons","3"
"Consecutive","10"
"Consent","49"
"Conservative","2"
"Consider","4"
"Consideration","2"
"Considering","2"
"Consistency","7"
"Consistent","4"
"Console","208"
"Consolidated","1"
"Const","49"
"Constaint","1"
"Constant","262"
"Constants","53"
"Constr","14"
"Constrained","36"
"Constraint","707"
"Constraints","237"
"Construct","54"
"Constructed","66"
"Constructing","4"
"Construction","22"
"Constructor","582"
"Constructors","42"
"Consts","3"
"Consume","99"
"Consumed","423"
"Consumer","42"
"Consumers","2"
"Consumes","10"
"Consuming","8"
"Consumption","7"
"Cont","5"
"Contain","29"
"Contained","22"
"Container","526"
"Containing","150"
"Contains","558"
"Content","2941"
"Contention","21"
"Contents","197"
"Context","6509"
"Contextful","5"
"Contexts","12"
"Contextual","8"
"Contextualize","5"
"Contextualized","2"
"Contiguous","8"
"Contingent","4"
"Continuation","413"
"Continuations","60"
"Continue","295"
"Contract","149"
"Contracted","1"
"Contracts","7"
"Contraint","4"
"Contravariant","5"
"Contributing","1"
"Control","760"
"Controlled","14"
"Controller","412"
"Controllers","18"
"Controls","2"
"Conv","228"
"Convention","322"
"Conventional","4"
"Conventionally","6"
"Conventions","140"
"Conversion","265"
"Conversions","16"
"Convert","1631"
"Convertable","2"
"Converted","7"
"Converter","997"
"Converters","22"
"Convertible","16"
"Convertor","2"
"Convs","2"
"Cooked","27"
"Cookie","539"
"Cookies","119"
"Cooperative","5"
"Cooperatively","1"
"Coord","8"
"Coordinate","2"
"Coordinates","1"
"Coordination","1"
"Copied","14"
"Copiers","1"
"Copies","1"
"Coptic","4"
"Copy","1099"
"Copyback","1"
"Copying","3"
"Copyright","14"
"Copyto","2"
"Cor","43"
"Coral","6"
"Core","1805"
"Corehost","4"
"Corner","1"
"Cornflower","3"
"Cornsilk","3"
"Correct","22"
"Correction","10"
"Correctly","4"
"Correlation","39"
"Corresponding","1"
"Corrupt","16"
"Corrupted","23"
"Cors","91"
"Cos","32"
"Cosh","8"
"Cost","5"
"Could","32"
"Couldnt","4"
"Count","6914"
"Countdown","13"
"Counted","22"
"Counter","292"
"Counters","11"
"Countersignature","3"
"Countfor","1"
"Counting","4"
"Country","31"
"Counts","58"
"Covariant","7"
"Coverage","6"
"Cp","302"
"Cpblk","3"
"Cpobj","3"
"Cpp","7"
"Cpu","8"
"Cpuidex","1"
"Cr","7"
"Crafted","2"
"Crawl","4"
"Crawlpos","2"
"Crc","61"
"Cream","3"
"Creat","2"
"Create","4361"
"Created","193"
"Creates","1"
"Creating","18"
"Creation","292"
"Creator","51"
"Cred","17"
"Credential","138"
"Credentials","247"
"Credformat","1"
"Credit","16"
"Creds","9"
"Credui","3"
"Crimson","3"
"Crit","5"
"Criteria","37"
"Criterion","4"
"Critical","154"
"Crl","34"
"Crlf","7"
"Crls","1"
"Cross","24"
"Crypt","419"
"Crypto","136"
"Cryptographic","41"
"Cryptography","540"
"Cs","10"
"Csig","1"
"Csp","88"
"Css","21"
"Cstr","2"
"Csv","1"
"Csym","1"
"Csz","4"
"Ct","28"
"Ctext","1"
"Ctime","1"
"Ctl","7"
"Ctor","267"
"Ctors","14"
"Ctr","7"
"Ctrl","28"
"Cts","54"
"Ctx","39"
"Ctxt","9"
"Ctype","6"
"Cu","5"
"Cui","3"
"Cult","1"
"Culture","1049"
"Cultures","71"
"Cumulative","5"
"Cuos","2"
"Cur","88"
"Curmgr","2"
"Curpos","4"
"Curr","22"
"Currency","97"
"Current","2442"
"Currently","7"
"Currenttransaction","2"
"Currrent","1"
"Cursor","39"
"Curve","79"
"Curves","6"
"Cust","19"
"Custom","1004"
"Customer","2"
"Customize","3"
"Customized","11"
"Cut","3"
"Cutoff","4"
"Cutter","1"
"Cv","3"
"Cvt","1"
"Cw","14"
"Cxt","19"
"Cy","10"
"Cyan","11"
"Cycle","28"
"Cycles","5"
"Cyclic","4"
"Cyclical","2"
"Cyclically","2"
"Cyrillic","10"
"Dacl","34"
"Dad","2"
"Dangerous","45"
"Dark","67"
"Dash","6"
"Dashes","4"
"Data","6454"
"Database","18"
"Dataflow","97"
"Datagram","27"
"Datagrams","28"
"Datarep","2"
"Datas","7"
"Dataset","23"
"Datatable","10"
"Datatables","1"
"Datatype","155"
"Datavalue","3"
"Date","1371"
"Dates","10"
"Datesep","2"
"Datesuff","1"
"Dateticks","4"
"Datetime","1"
"Day","402"
"Daylight","98"
"Dayofweek","2"
"Days","121"
"Daytime","1"
"Db","228"
"Dbg","1"
"Dbl","32"
"Dc","8"
"Dd","5"
"De","6"
"Deactivated","3"
"Deadend","3"
"Deadline","3"
"Deallocate","2"
"Dealyo","4"
"Debug","476"
"Debuggable","4"
"Debugger","424"
"Debugging","30"
"Dec","91"
"Decendents","1"
"Decide","4"
"Decimal","472"
"Decimals","5"
"Decipher","2"
"Decision","18"
"Decl","175"
"Declaration","182"
"Declarations","12"
"Declarative","13"
"Declare","35"
"Declared","147"
"Declares","1"
"Declaring","226"
"Declined","2"
"Declining","46"
"Decls","16"
"Decode","711"
"Decoded","323"
"Decoder","226"
"Decoding","25"
"Decompose","2"
"Decompress","14"
"Decompressed","8"
"Decompressing","3"
"Decompression","57"
"Decompressor","1"
"Deconstruct","41"
"Decorated","14"
"Decorator","1"
"Decrease","4"
"Decrement","67"
"Decrypt","194"
"Decrypted","15"
"Decrypting","5"
"Decryption","32"
"Decryptor","62"
"Dedent","2"
"Dedicated","1"
"Deduce","3"
"Deduplicated","2"
"Deduplication","1"
"Deep","62"
"Def","246"
"Defattr","29"
"Default","2800"
"Defaultcreds","2"
"Defaulted","4"
"Defaults","138"
"Defer","8"
"Deferral","1"
"Deferred","22"
"Defg","1"
"Define","206"
"Defined","273"
"Defines","1"
"Definite","1"
"Definitely","2"
"Definition","252"
"Definitions","55"
"Deflate","62"
"Deflated","2"
"Deflater","8"
"Defn","1"
"Defoliate","1"
"Defoliated","1"
"Defoliating","1"
"Deformatter","25"
"Defs","5"
"Degraded","5"
"Degree","40"
"Degrees","16"
"Del","24"
"Delaration","3"
"Delay","117"
"Delayed","24"
"Delegate","713"
"Delegated","34"
"Delegates","10"
"Delegating","10"
"Delegation","21"
"Delegator","5"
"Delete","270"
"Deleted","41"
"Deleting","10"
"Deletion","2"
"Delim","5"
"Delimited","10"
"Delimiter","139"
"Delimiters","22"
"Delivered","9"
"Delivery","34"
"Delta","113"
"Deltas","3"
"Demand","11"
"Demanded","3"
"Demote","1"
"Demultiplexer","3"
"Demux","4"
"Den","3"
"Denied","76"
"Denorm","5"
"Denormal","4"
"Dense","1"
"Deny","23"
"Dep","151"
"Depadding","1"
"Dependencies","13"
"Dependency","191"
"Dependent","85"
"Depends","17"
"Depleted","1"
"Deposit","2"
"Deprecated","8"
"Deprioritization","2"
"Deprioritized","5"
"Deps","2"
"Depth","351"
"Deque","2"
"Dequeue","59"
"Dequeues","5"
"Der","25"
"Deref","9"
"Dereferenced","4"
"Deregister","2"
"Derivation","48"
